workout,start,end,exercise,weight,extraWeight,assistingWeight,distanceFT,reps,warmup,max,fail,checked,setComment,workoutComment,form,sleep,calories,stress
"Wednesday Morning: Shoulders, Posterior thighs, Glutes etc.",1.77263E+12,1.77263E+12,Squat (Goblet),30,,,,10,FALSE,FALSE,FALSE,1.77263E+12,,,3,0,4,7
"Wednesday Morning: Shoulders, Posterior thighs, Glutes etc.",1.77263E+12,1.77263E+12,Squat (Goblet),30,,,,10,FALSE,FALSE,FALSE,1.77263E+12,,,3,0,4,7
"Wednesday Morning: Shoulders, Posterior thighs, Glutes etc.",1.77263E+12,1.77263E+12,Kettlebell Swing,30,,,,12,FALSE,FALSE,FALSE,1.77263E+12,,,3,0,4,7
"Wednesday Morning: Shoulders, Posterior thighs, Glutes etc.",1.77263E+12,1.77263E+12,Kettlebell Swing,30,,,,12,FALSE,FALSE,FALSE,1.77263E+12,,,3,0,4,7
"Wednesday Morning: Shoulders, Posterior thighs, Glutes etc.",1.77263E+12,1.77263E+12,Leg Press,208,,,,10,FALSE,FALSE,FALSE,1.77263E+12,,,3,0,4,7
"Wednesday Morning: Shoulders, Posterior thighs, Glutes etc.",1.77263E+12,1.77263E+12,Leg Press,298,,,,10,FALSE,FALSE,FALSE,1.77263E+12,,,3,0,4,7
"Wednesday Morning: Shoulders, Posterior thighs, Glutes etc.",1.77263E+12,1.77263E+12,Leg Press,318,,,,12,FALSE,FALSE,FALSE,1.77263E+12,,,3,0,4,7
"Wednesday Morning: Shoulders, Posterior thighs, Glutes etc.",1.77263E+12,1.77263E+12,Leg Press,318,,,,10,FALSE,FALSE,FALSE,1.77263E+12,,,3,0,4,7
"Wednesday Morning: Shoulders, Posterior thighs, Glutes etc.",1.77263E+12,1.77263E+12,Leg Press,318,,,,10,FALSE,FALSE,FALSE,1.77263E+12,,,3,0,4,7
"Wednesday Morning: Shoulders, Posterior thighs, Glutes etc.",1.77263E+12,1.77263E+12,Leg Raise (Capt Chair),,0,,,10,FALSE,FALSE,FALSE,1.77263E+12,,,3,0,4,7
"Wednesday Morning: Shoulders, Posterior thighs, Glutes etc.",1.77263E+12,1.77263E+12,Leg Raise (Capt Chair),,0,,,10,FALSE,FALSE,FALSE,1.77263E+12,,,3,0,4,7
"Wednesday Morning: Shoulders, Posterior thighs, Glutes etc.",1.77263E+12,1.77263E+12,Hip Adduction (Machine),160,,,,10,FALSE,FALSE,FALSE,1.77263E+12,,,3,0,4,7
"Wednesday Morning: Shoulders, Posterior thighs, Glutes etc.",1.77263E+12,1.77263E+12,Hip Adduction (Machine),160,,,,10,FALSE,FALSE,FALSE,1.77263E+12,,,3,0,4,7
