workout,start,end,exercise,weight,bodyweight,extraWeight,assistingWeight,distanceFT,reps,warmup,max,fail,checked,setComment,workoutComment,form,sleep,calories,stress
"Wednesday Morning: Shoulders, Posterior thighs, Glutes etc.",1772626851499,1772631282087,Goblet Squat,30,,,,,10,false,false,false,1772626853686,,,3,0,4,7
"Wednesday Morning: Shoulders, Posterior thighs, Glutes etc.",1772626851499,1772631282087,Goblet Squat,30,,,,,10,false,false,false,1772626853936,,,3,0,4,7
"Wednesday Morning: Shoulders, Posterior thighs, Glutes etc.",1772626851499,1772631282087,Kettlebell Swing,30,,,,,12,false,false,false,1772626854823,,,3,0,4,7
"Wednesday Morning: Shoulders, Posterior thighs, Glutes etc.",1772626851499,1772631282087,Kettlebell Swing,30,,,,,12,false,false,false,1772626855136,,,3,0,4,7
"Wednesday Morning: Shoulders, Posterior thighs, Glutes etc.",1772626851499,1772631282087,Leg Press,208,,,,,10,false,false,false,1772626964785,,,3,0,4,7
"Wednesday Morning: Shoulders, Posterior thighs, Glutes etc.",1772626851499,1772631282087,Leg Press,298,,,,,10,false,false,false,1772627167170,,,3,0,4,7
"Wednesday Morning: Shoulders, Posterior thighs, Glutes etc.",1772626851499,1772631282087,Leg Press,318,,,,,12,false,false,false,1772627355040,,,3,0,4,7
"Wednesday Morning: Shoulders, Posterior thighs, Glutes etc.",1772626851499,1772631282087,Leg Press,318,,,,,10,false,false,false,1772627525893,,,3,0,4,7
"Wednesday Morning: Shoulders, Posterior thighs, Glutes etc.",1772626851499,1772631282087,Leg Press,318,,,,,10,false,false,false,1772627930165,,,3,0,4,7
"Wednesday Morning: Shoulders, Posterior thighs, Glutes etc.",1772626851499,1772631282087,Captain’s Chair Leg Raises,,140,0,,,10,false,false,false,1772627931184,,,3,0,4,7
"Wednesday Morning: Shoulders, Posterior thighs, Glutes etc.",1772626851499,1772631282087,Captain’s Chair Leg Raises,,140,0,,,10,false,false,false,1772628277432,,,3,0,4,7
"Wednesday Morning: Shoulders, Posterior thighs, Glutes etc.",1772626851499,1772631282087,Hip Adduction Machine,160,,,,,10,false,false,false,1772628449361,,,3,0,4,7
"Wednesday Morning: Shoulders, Posterior thighs, Glutes etc.",1772626851499,1772631282087,Hip Adduction Machine,160,,,,,10,false,false,false,1772628278280,,,3,0,4,7
"Wednesday Morning: Shoulders, Posterior thighs, Glutes etc.",1772626851499,1772631282087,Hip Adduction Machine,160,,,,,10,false,false,false,1772628606239,,,3,0,4,7
"Wednesday Morning: Shoulders, Posterior thighs, Glutes etc.",1772626851499,1772631282087,Hip Abduction Machine,160,,,,,10,false,false,false,1772628450656,,,3,0,4,7
"Wednesday Morning: Shoulders, Posterior thighs, Glutes etc.",1772626851499,1772631282087,Hip Abduction Machine,160,,,,,10,false,false,false,1772628607460,,,3,0,4,7
"Wednesday Morning: Shoulders, Posterior thighs, Glutes etc.",1772626851499,1772631282087,Hip Abduction Machine,160,,,,,10,false,false,false,1772628855598,,,3,0,4,7
"Wednesday Morning: Shoulders, Posterior thighs, Glutes etc.",1772626851499,1772631282087,Seated Leg Curl,70,,,,,10,false,false,false,1772629931559,,,3,0,4,7
"Wednesday Morning: Shoulders, Posterior thighs, Glutes etc.",1772626851499,1772631282087,Seated Leg Curl,70,,,,,12,false,false,false,1772630191480,,,3,0,4,7
"Wednesday Morning: Shoulders, Posterior thighs, Glutes etc.",1772626851499,1772631282087,Seated Leg Curl,75,,,,,10,false,false,false,1772630651630,,,3,0,4,7
"Wednesday Morning: Shoulders, Posterior thighs, Glutes etc.",1772626851499,1772631282087,Seated Leg Curl,25,,,,,5,false,false,false,1772629983046,,,3,0,4,7
"Wednesday Morning: Shoulders, Posterior thighs, Glutes etc.",1772626851499,1772631282087,Seated Leg Curl,20,,,,,5,false,false,false,1772630245062,,,3,0,4,7
"Wednesday Morning: Shoulders, Posterior thighs, Glutes etc.",1772626851499,1772631282087,Seated Leg Curl,20,,,,,5,false,false,false,1772630652406,,,3,0,4,7
"Wednesday Morning: Shoulders, Posterior thighs, Glutes etc.",1772626851499,1772631282087,Leg Extension,65,,,,,12,false,false,false,1772630654761,,,3,0,4,7
"Wednesday Morning: Shoulders, Posterior thighs, Glutes etc.",1772626851499,1772631282087,Leg Extension,70,,,,,12,false,false,false,1772630905250,,,3,0,4,7
"Wednesday Morning: Shoulders, Posterior thighs, Glutes etc.",1772626851499,1772631282087,Leg Extension,75,,,,,10,false,false,false,1772631272990,,,3,0,4,7
"Wednesday Morning: Shoulders, Posterior thighs, Glutes etc.",1772626851499,1772631282087,Leg Extension,25,,,,,10,false,false,false,1772630729937,,,3,0,4,7
"Wednesday Morning: Shoulders, Posterior thighs, Glutes etc.",1772626851499,1772631282087,Leg Extension,20,,,,,10,false,false,false,1772630906513,,,3,0,4,7
"Wednesday Morning: Shoulders, Posterior thighs, Glutes etc.",1772626851499,1772631282087,Leg Extension,20,,,,,10,false,false,false,1772630919784,,,3,0,4,7
"Wednesday Morning: Shoulders, Posterior thighs, Glutes etc.",1772626851499,1772631282087,Leg Extension,25,,,,,5,false,false,false,1772630732741,,,3,0,4,7
"Wednesday Morning: Shoulders, Posterior thighs, Glutes etc.",1772626851499,1772631282087,Leg Extension,20,,,,,5,false,false,false,1772630907326,,,3,0,4,7
"Wednesday Morning: Shoulders, Posterior thighs, Glutes etc.",1772626851499,1772631282087,Leg Extension,20,,,,,5,false,false,false,1772630920494,,,3,0,4,7
"Wednesday Morning: Shoulders, Posterior thighs, Glutes etc.",1772626851499,1772631282087,Standing Calf Raise,70,,,,,10,false,false,false,1772629348113,,,3,0,4,7
"Wednesday Morning: Shoulders, Posterior thighs, Glutes etc.",1772626851499,1772631282087,Standing Calf Raise,90,,,,,10,false,false,false,1772629536881,,,3,0,4,7
"Wednesday Morning: Shoulders, Posterior thighs, Glutes etc.",1772626851499,1772631282087,Standing Calf Raise,70,,,,,8,false,false,false,1772629641419,,,3,0,4,7
"Tuesday Morning: Back, Biceps, Abs etc.",1772540284031,1772545009956,Assisted Pull-Up,,140,,55,,10,false,false,false,1772540288572,,,,,,
"Tuesday Morning: Back, Biceps, Abs etc.",1772540284031,1772545009956,Assisted Pull-Up,,140,,40,,10,false,false,false,1772540519186,,,,,,
